Tabla,NombreProducto,Clase,País
Efta,Côtes-de-l'Orbe,Wine,Switzerland and Liechtenstein
Efta,Cuchaule,Bakery,Switzerland and Liechtenstein
Efta,Freiburger Safranbrot,Bakery,Switzerland and Liechtenstein
Efta,Damassine,Spirit,Switzerland and Liechtenstein
Efta,Dézaley,Wine,Switzerland and Liechtenstein
Efta,Dézaley-Marsens,Wine,Switzerland and Liechtenstein
Efta,Dôle,Wine,Switzerland and Liechtenstein
Efta,Domaine de l'Abbaye,Wine,Switzerland and Liechtenstein
Efta,Dorin,Wine,Switzerland and Liechtenstein
Efta,Eau-de-vie de poire du Valais,Spirit,Switzerland and Liechtenstein
Efta,Ermitage du Valais,Wine,Switzerland and Liechtenstein
Efta,Hermitage du Valais,Wine,Switzerland and Liechtenstein
Efta,Fendant,Wine,Switzerland and Liechtenstein
Efta,Formaggio d'alpe ticinese,Cheese,Switzerland and Liechtenstein
Efta,Genève,Wine,Switzerland and Liechtenstein
Efta,Glarner Alpkäse,Cheese,Switzerland and Liechtenstein
Efta,Formaggio d’alpe glaronese,Cheese,Switzerland and Liechtenstein
Efta,Fromage d'alpage glaronais,Cheese,Switzerland and Liechtenstein
Efta,Glarner Kalberwurst,Meat,Switzerland and Liechtenstein
Efta,Glarus,Wine,Switzerland and Liechtenstein
Efta,Goron,Wine,Switzerland and Liechtenstein
Efta,Grand Carraz,Wine,Switzerland and Liechtenstein
Efta,Grappa Ticino,Spirit,Switzerland and Liechtenstein
Efta,Graubünden,Wine,Switzerland and Liechtenstein
Efta,Grigioni,Wine,Switzerland and Liechtenstein
Efta,Gruyère,Cheese,Switzerland and Liechtenstein
Efta,Huile de noix vaudoise,Oil,Switzerland and Liechtenstein
Efta,Jambon cru du Valais,Meat,Switzerland and Liechtenstein
Efta,Walliser Rohschinken,Meat,Switzerland and Liechtenstein
Efta,Jambon de la Borne,Meat,Switzerland and Liechtenstein
Efta,Johannisberg du Valais,Wine,Switzerland and Liechtenstein
Efta,Jura,Wine,Switzerland and Liechtenstein
Efta,La Côte,Wine,Switzerland and Liechtenstein
Efta,La Feuillée,Wine,Switzerland and Liechtenstein
Efta,Lard sec du Valais,Meat,Switzerland and Liechtenstein
Efta,Walliser Trockenspeck,Meat,Switzerland and Liechtenstein
Efta,Lavaux,Wine,Switzerland and Liechtenstein
Efta,L'Etivaz,Cheese,Switzerland and Liechtenstein
Efta,Longeole,Meat,Switzerland and Liechtenstein
Efta,Luzern,Wine,Switzerland and Liechtenstein
Efta,Malvoisie du Valais,Wine,Switzerland and Liechtenstein
Efta,Mandement de Jussy,Wine,Switzerland and Liechtenstein
Efta,Munder Safran,Spice,Switzerland and Liechtenstein
Efta,Neuchâtel,Wine,Switzerland and Liechtenstein
Efta,Nidwalden,Wine,Switzerland and Liechtenstein
Efta,Nostrano,Wine,Switzerland and Liechtenstein
Efta,Obwalden,Wine,Switzerland and Liechtenstein
Efta,Païen,Wine,Switzerland and Liechtenstein
Efta,Heida,Wine,Switzerland and Liechtenstein
Efta,Pain de seigle valaisan,Bakery,Switzerland and Liechtenstein
Efta,Walliser Roggenbrot,Bakery,Switzerland and Liechtenstein
Efta,Poire à Botzi,Fruit,Switzerland and Liechtenstein
Efta,Raclette du Valais,Cheese,Switzerland and Liechtenstein
Efta,Walliser Raclette,Cheese,Switzerland and Liechtenstein
Efta,Rheintaler Ribel,Cereal,Switzerland and Liechtenstein
Efta,Türggen Ribel,Cereal,Switzerland and Liechtenstein
Efta,Rougemont,Wine,Switzerland and Liechtenstein
Efta,Salvagnin,Wine,Switzerland and Liechtenstein
Efta,Saucisse aux choux vaudoise,Meat,Switzerland and Liechtenstein
Efta,Saucisse d'Ajoie,Meat,Switzerland and Liechtenstein
Efta,Saucisson neuchâtelois,Meat,Switzerland and Liechtenstein
